type,listPrice,lastSoldPrice,sqft,stories,beds,baths_full,garage,year_built,zip,baths_partial,price_per_sqft,price_category
single_family,630000.0,605000,2274.0,1.0,2.0,2.0,2.0,2007.0,33446,1.0,266.0510114335972,alto
single_family,289000.0,285000,2170.0,1.0,3.0,2.0,2.0,1980.0,33876,0.0,131.3364055299539,bajo
condos,449000.0,425000,1722.0,1.0,3.0,2.0,2.0,2016.0,33913,0.0,246.80603948896632,medio
single_family,599000.0,596000,1699.0,1.0,3.0,3.0,0.0,1952.0,33009,0.0,350.7945850500294,alto
single_family,173500.0,165000,640.0,1.0,1.0,1.0,0.0,1971.0,32118,0.0,257.8125,bajo
townhomes,329000.0,305000,1760.0,2.0,3.0,2.0,1.0,2007.0,33928,1.0,173.29545454545453,medio
single_family,459870.0,459870,1890.0,2.0,3.0,2.0,2.0,2007.0,32806,1.0,243.31746031746033,medio
single_family,695000.0,660000,3418.0,2.0,5.0,3.0,2.0,2012.0,32708,1.0,193.0953774136922,alto
single_family,139900.0,135000,1256.0,1.0,3.0,1.0,0.0,1960.0,33566,0.0,107.48407643312102,bajo
single_family,239900.0,239900,1400.0,1.0,3.0,2.0,2.0,2025.0,34434,0.0,171.35714285714286,bajo
single_family,345000.0,325000,1890.0,1.0,2.0,2.0,2.0,1985.0,33830,1.0,171.95767195767195,medio
single_family,490000.0,475000,2102.0,2.0,4.0,2.0,2.0,2023.0,34787,1.0,225.97526165556613,medio
single_family,799900.0,745000,1876.0,1.0,2.0,2.0,2.0,1999.0,34208,0.0,397.12153518123665,alto
single_family,2549000.0,2625000,3395.0,1.0,4.0,4.0,2.0,1991.0,32082,1.0,773.1958762886597,alto
single_family,644500.0,630000,2711.0,1.0,4.0,3.0,3.0,2005.0,34291,0.0,232.38657322021393,alto
single_family,5595000.0,5250000,7059.0,2.0,6.0,7.0,3.0,2025.0,32461,2.0,743.7314067148321,alto
single_family,700000.0,670000,2358.0,1.0,3.0,3.0,2.0,2019.0,34987,0.0,284.13910093299404,alto
single_family,1395000.0,1350000,3411.0,2.0,4.0,3.0,3.0,2014.0,32081,0.0,395.77836411609496,alto
single_family,4400000.0,4150000,6593.0,3.0,8.0,7.0,2.0,2024.0,32461,1.0,629.4554830881237,alto
single_family,1899000.0,1708000,3693.0,2.0,4.0,3.0,2.0,1988.0,33410,1.0,462.49661521798,alto
single_family,449900.0,420000,1829.0,1.0,2.0,2.0,2.0,2003.0,33953,0.0,229.63367960634227,medio
multi_family,850000.0,750000,1070.0,2.0,2.0,2.0,0.0,1960.0,33062,0.0,700.9345794392524,alto
single_family,629000.0,590000,2331.0,1.0,4.0,2.0,2.0,1986.0,32127,0.0,253.1102531102531,alto
single_family,2199000.0,2150000,4300.0,2.0,4.0,4.0,3.0,2013.0,32082,1.0,500.0,alto
single_family,2150000.0,1710000,4248.0,2.0,6.0,6.0,3.0,2005.0,33496,1.0,402.54237288135596,alto
condos,949000.0,910000,1385.0,1.0,2.0,2.0,0.0,1984.0,32550,0.0,657.0397111913358,alto
single_family,570000.0,571000,2510.0,1.0,4.0,3.0,3.0,2002.0,32953,0.0,227.49003984063745,alto
condos,399000.0,399000,2284.0,2.0,3.0,2.0,2.0,2019.0,34293,0.0,174.69352014010508,medio
single_family,509900.0,475000,1743.0,1.0,2.0,2.0,2.0,2025.0,32124,1.0,272.5186460126219,medio
single_family,835000.0,770000,2753.0,1.0,3.0,3.0,3.0,2022.0,34987,1.0,279.6948783145659,alto
condos,199000.0,190000,916.0,4.0,2.0,2.0,0.0,1982.0,33434,0.0,207.4235807860262,bajo
single_family,486000.0,460000,1670.0,1.0,3.0,2.0,2.0,2005.0,33446,0.0,275.4491017964072,medio
single_family,3795000.0,3400000,4735.0,2.0,5.0,4.0,2.0,2004.0,33019,1.0,718.0570221752904,alto
single_family,5500000.0,4900000,5710.0,2.0,4.0,4.0,3.0,2007.0,34275,1.0,858.1436077057793,alto
single_family,2399000.0,1925000,3034.0,2.0,4.0,4.0,2.0,2006.0,33418,0.0,634.4759393539881,alto
condos,267777.0,255000,1340.0,1.0,2.0,2.0,0.0,1985.0,33069,0.0,190.29850746268656,bajo
single_family,529976.0,516000,2327.0,1.0,4.0,3.0,2.0,1992.0,33549,0.0,221.74473571121615,alto
single_family,740000.0,690000,3006.0,1.0,3.0,2.0,3.0,2001.0,34241,0.0,229.54091816367264,alto
single_family,1200000.0,1075000,3388.0,1.0,3.0,3.0,3.0,2025.0,32137,0.0,317.29634002361274,alto
single_family,3799000.0,3400000,3499.0,2.0,5.0,5.0,2.0,2014.0,32461,1.0,971.7062017719348,alto
single_family,1100000.0,1030000,3882.0,1.0,4.0,4.0,3.0,2006.0,34986,1.0,265.3271509531169,alto
single_family,1695500.0,1575000,4914.0,2.0,4.0,4.0,3.0,2007.0,34655,1.0,320.5128205128205,alto
land,220000.0,220000,1680.0,1.0,3.0,2.0,0.0,1999.0,33127,0.0,130.95238095238096,bajo
land,52000.0,50500,1680.0,1.0,3.0,2.0,0.0,1999.0,34986,0.0,30.05952380952381,bajo
land,21500.0,20500,1680.0,1.0,3.0,2.0,0.0,1999.0,33875,0.0,12.202380952380953,bajo
mobile,104500.0,85000,1848.0,1.0,3.0,3.0,0.0,2004.0,34446,0.0,45.995670995671,bajo
single_family,215000.0,215000,1293.0,1.0,2.0,2.0,0.0,1980.0,34293,0.0,166.2799690641918,bajo
land,33000.0,30000,1680.0,1.0,3.0,2.0,0.0,1999.0,34972,0.0,17.857142857142858,bajo
single_family,1699000.0,1510000,3008.0,1.0,4.0,3.0,2.0,2018.0,32413,0.0,501.99468085106383,alto
condos,449000.0,440000,2160.0,1.0,2.0,2.0,2.0,2011.0,32092,0.0,203.7037037037037,medio
single_family,389900.0,375000,1443.0,1.0,2.0,2.0,2.0,2022.0,34293,0.0,259.87525987525987,medio
single_family,399900.0,399900,2032.0,1.0,3.0,2.0,2.0,2006.0,32940,0.0,196.8011811023622,medio
mobile,249900.0,230900,1372.0,1.0,2.0,2.0,0.0,1973.0,33771,0.0,168.2944606413994,bajo
single_family,1049000.0,975000,2247.0,1.0,3.0,3.0,2.0,2022.0,34211,0.0,433.91188251001336,alto
single_family,749900.0,755000,2277.0,1.0,4.0,3.0,3.0,2019.0,32168,0.0,331.57663592446204,alto
single_family,1599000.0,1550000,4636.0,2.0,8.0,5.0,3.0,1997.0,33428,0.0,334.33994823123385,alto
single_family,1395000.0,1350000,2352.0,3.0,2.0,2.0,2.0,1999.0,33706,1.0,573.9795918367347,alto
single_family,914999.0,916000,2982.0,2.0,5.0,3.0,2.0,2019.0,32578,1.0,307.17639168343396,alto
condos,299000.0,299000,1229.0,2.0,2.0,2.0,0.0,1979.0,33434,0.0,243.28722538649308,medio
mobile,39900.0,39900,1296.0,1.0,2.0,2.0,0.0,1983.0,33881,0.0,30.787037037037038,bajo
single_family,599900.0,528965,2200.0,1.0,4.0,3.0,2.0,1968.0,32174,0.0,240.43863636363636,alto
single_family,785000.0,735000,2739.0,1.0,4.0,3.0,3.0,2006.0,34212,0.0,268.3461117196057,alto
single_family,3800000.0,3300000,2054.0,2.0,3.0,3.0,2.0,1996.0,33037,1.0,1606.6212268743914,alto
